winningTeam,blueTeamWardsPlaced,blueTeamKills,blueTeamTotalJungleMinionsKilled,blueTeamTotalMinionsKilled,blueTeamAvgLevel,blueTeamCsPerMinute,blueTeamGoldPerMinute,redTeamWardsDestroyed,redTeamKills,redTeamTotalJungleMinionsKilled,redTeamTotalMinionsKilled,redTeamAvgLevel,redTeamCsPerMinute,redTeamGoldPerMinute
1,35,14,66.4,248.3,8.32,20.98,1454.07,2,7,77.8,232.1,8.1,20.66,1269.97
0,35,14,85.7,273.3,8.68,23.93,1469.9,12,9,76.5,292.2,8.56,24.58,1433.52
0,29,11,74.5,276.1,8.6,23.37,1427.19,4,10,83.6,278.7,8.6,24.15,1403.89
1,36,7,74.4,278.6,8.58,23.53,1339.34,5,6,79.0,307.0,8.76,25.73,1366.71
0,57,5,84.2,235.7,8.36,21.33,1293.19,8,15,81.1,263.2,8.84,22.95,1517.49
0,30,8,76.8,242.0,8.08,21.25,1266.79,11,11,46.9,293.3,8.56,22.68,1437.68
1,34,12,67.8,286.3,8.66,23.61,1409.29,5,9,79.7,264.1,8.48,22.92,1371.53
1,27,6,85.6,291.0,8.56,25.11,1348.01,6,8,75.3,311.4,8.78,25.78,1453.15
1,33,15,78.0,260.6,8.6,22.57,1421.03,9,8,90.1,300.5,8.56,26.04,1406.07
0,31,12,74.0,296.1,9.0,24.67,1402.29,7,7,82.2,285.2,8.74,24.49,1328.17
0,27,12,82.2,229.5,8.38,20.78,1326.61,8,15,72.6,268.9,8.68,22.77,1523.31
1,40,23,67.4,262.5,8.7,21.99,1620.84,5,6,60.8,231.6,7.92,19.49,1200.3
0,33,9,56.2,253.3,8.18,20.63,1336.88,6,14,82.8,264.5,8.62,23.15,1491.22
0,29,13,99.6,253.1,8.8,23.51,1443.75,8,15,55.4,282.1,8.72,22.5,1414.83
1,273,11,78.3,227.1,8.5,20.36,1352.61,6,16,75.8,278.7,8.76,23.63,1458.75
1,30,17,60.0,292.5,8.7,23.5,1547.65,9,12,68.9,249.1,8.6,21.2,1431.4
0,31,10,78.6,293.0,8.74,24.77,1439.73,6,11,67.0,279.7,8.5,23.11,1401.66
1,32,7,88.2,304.8,8.78,26.2,1353.76,10,7,75.6,276.2,8.78,23.45,1385.11
1,302,17,73.8,251.7,8.82,21.7,1410.73,1,14,65.2,276.9,8.64,22.81,1434.27
1,22,13,86.1,261.7,8.8,23.19,1608.33,5,12,70.8,282.4,8.68,23.55,1420.07
1,31,27,52.0,214.6,8.22,17.77,1600.09,8,12,86.0,248.3,8.24,22.29,1527.17
1,30,11,68.4,275.7,8.72,22.94,1334.07,2,7,72.4,232.3,8.54,20.31,1196.33
1,25,21,67.1,268.4,8.64,22.37,1580.61,8,11,58.2,263.0,8.14,21.41,1333.78
0,35,14,52.6,298.0,8.48,23.37,1465.81,11,15,58.1,296.0,8.44,23.61,1598.47
0,30,8,79.8,232.0,8.3,20.79,1307.95,4,13,47.5,267.0,8.48,20.97,1477.61
1,25,16,79.5,283.5,8.74,24.2,1614.79,2,10,88.3,242.6,8.36,22.06,1371.61
1,32,14,61.6,261.1,8.54,21.51,1454.57,9,16,56.8,246.8,8.3,20.24,1418.36
1,38,5,85.3,303.5,8.96,25.92,1363.96,9,5,85.0,290.1,8.7,25.01,1240.47
0,31,15,70.1,221.8,8.2,19.46,1398.57,6,11,64.0,279.9,8.58,22.93,1498.81
0,31,6,80.3,271.5,8.6,23.45,1317.57,4,14,83.2,289.0,8.86,24.81,1385.77
0,36,9,69.4,305.7,8.54,25.01,1409.19,9,12,71.2,256.5,8.84,21.85,1402.29
1,25,21,79.1,263.0,9.0,22.81,1547.77,2,7,66.8,262.8,8.32,21.97,1359.97
1,32,14,80.2,288.9,8.92,24.61,1446.56,7,2,83.8,249.1,8.3,22.19,1224.45
0,35,9,74.4,257.3,8.58,22.11,1415.78,10,17,87.8,252.0,8.96,22.65,1503.29
1,32,13,73.3,228.7,8.4,20.13,1461.36,13,10,73.2,274.1,8.36,23.15,1394.3
1,29,14,75.6,319.8,8.92,26.36,1545.17,7,11,65.5,226.1,8.08,19.44,1283.97
0,40,11,68.0,276.1,8.54,22.94,1390.97,12,12,82.9,269.7,8.72,23.51,1487.77
1,25,15,98.4,260.7,8.66,23.94,1474.92,7,11,39.6,245.4,7.98,19.0,1346.23
1,36,18,77.8,253.0,8.56,22.05,1571.77,8,12,76.0,235.6,8.38,20.77,1419.06
0,25,9,87.6,265.7,8.8,23.55,1367.77,8,11,87.6,284.6,8.82,24.81,1364.83
0,20,7,68.7,201.0,7.7,17.98,1271.69,3,22,70.3,264.9,8.62,22.35,1692.15
1,32,8,72.6,284.9,8.84,23.83,1348.31,6,6,87.9,292.6,8.8,25.37,1355.43
0,144,8,56.7,239.0,8.46,19.71,1451.1,9,18,75.4,272.3,8.66,23.18,1523.21
0,40,14,81.4,235.0,8.14,21.09,1455.25,5,20,80.8,252.5,8.66,22.22,1587.51
